ID,c__ID,brand,c__brandName
36513072,,,Ray Ban
39248979,,,Flexi
39995145,,,Flexi
39677786,,,Dockers
40123213,,,Polo Ralph Lauren
40163719,,,Epsilon
38970481,,,Hackett
38777953,,,Oro & Gold
36877364,,,Novios de Protocolo
40791369,,,Sandro
39686813,,,Ray Ban
40479107,,,Fjällräven
40178550,,,Calvin Klein
39186846,,,Levi's
40156682,,,Pepe Jeans
40171477,,,Epsilon
40649931,,,Alexander McQueen
40791468,,,Scappino
40078088,,,Carrera
40827389,,,Springfield
40665590,,,
40156399,,,Pol Cotton
40763593,,,Springfield
40812314,,,Camper
40462091,,,Michael Kors
40452655,,,Chester & Peck
40902038,,,Penguin
40584563,,,Diesel
41745607,,,Michael Kors
39521841,,,Thomas Sabo
40534230,,,Paul & Shark
36542384,,,Levi's
42178975,,,Pertegaz
40511054,,,Catamaran
40313246,,,Swarovski
40422258,,,Michel Domit
40557812,,,Lacoste
40521047,,,Nautica
37773171,,,Vilebrequin
40290442,,,Polo Ralph Lauren
40274286,,,Hugo Boss
40072979,,,Theo Frazier
38631424,,,Florentino
39977927,,,Pineda Covalin
39514930,,,Barberia Capital
40927407,,,Springfield
40534474,,,Paul & Shark
39197617,,,La Martina
39868455,,,Quirelli
39833099,,,Apc
40309990,,,Boggi
40906470,,,Pal Zileri
40866985,,,The North Face
39988809,,,Garrett Leight
39498030,,,EA7 EMPORIO ARMANI
39724748,,,Ray Ban
40034608,,,Ray Ban
31046264,,,Optix
40112908,,,Harmont & Blaine
40630484,,,Enrico Coveri
40140057,,,Levi's
40815304,,,Scalpers
40222891,,,Original Penguin
40648294,,,Armani Exchange
38266263,,,Ermenegildo Zegna
40999714,,,Dolce & Gabanna
39016687,,,Maui Jim
40832035,,,Timberland
40020754,,,Boss
40743280,,,Tommy Hilfiger
38772467,,,Cuadra
40674998,,,Epsilon
40178350,,,Fila
40545484,,,Salvatore Ferragamo
39322397,,,Adolfo Dominguez
39962592,,,Apc
40483840,,,Epsilon
40800189,,,Polo Ralph Lauren
40297047,,,Scalpers
40299303,,,Penguin
37412013,,,Tommy Hilfiger
39016723,,,Lacoste
10171288,,,Troy
40181861,,,Adolfo Dominguez
40092835,,,Levi's
39835423,,,Ted Baker
39682671,,,Salvatore Ferragamo
40982394,,,MONTBLANC
39785769,,,Perry Ellis
40275728,,,UNO DE 50
38711213,,,
36173455,,,Barbie
39688586,,,Ph 1888
40862429,,,Nike
40787824,,,Vineyard Vines
40895134,,,Salvatore Ferragamo
42164618,,,Replay
38682145,,,Ray Ban
40142384,,,Springfield
40800527,,,Polo Ralph Lauren
39255663,,,Travel Blue
40746049,,,The North Face
