ID,c__ID,brand,c__brandName 
40746374,,Cortefiel,Cortefiel
40147352,,Ugg,Ugg
40652688,,Armani Exchange,Armani Exchange
40242999,,Ermenegildo Zegna,Ermenegildo Zegna
40861091,,Pertegaz,Pertegaz
40572705,,Boss,Boss
40653240,,Epsilon,Epsilon
41663739,,Polo Ralph Lauren,Polo Ralph Lauren
39976911,,Calvin Klein,Calvin Klein
40545415,,Hickok,Hickok
40221229,,,
37718992,,Hugo Boss,Hugo Boss
41843348,,Fjällräven,Fjällräven
39691445,,Psycho Bunny,Psycho Bunny
38891696,,Vilebrequin,Vilebrequin
39077175,,Ray Ban,Ray Ban
40495995,,,
40567105,,Timberland,Timberland
40031600,,Giorgio Armani,Giorgio Armani
40481771,,Boggi,Boggi
40482554,,O Meccanica,O Meccanica
40181455,,Adolfo Dominguez,Adolfo Dominguez
39016799,,SevenFriday,SevenFriday
41019506,,Boss,Boss
39719755,,Levi's,Levi's
36209743,,Giorgio Armani,Giorgio Armani
40556761,,Salvatore Ferragamo,Salvatore Ferragamo
40014682,,Hex,Hex
40503456,,Magnanni,Magnanni
40504593,,The North Face,The North Face
40419108,,Nautica,Nautica
36736631,,B+D,B+D
40189949,,Montblanc,Montblanc
39686861,,Ray Ban,Ray Ban
40591859,,Ciba,Ciba
40381556,,Miguel Bellido,Miguel Bellido
36612429,,Cufflinks Inc,Cufflinks Inc
40634380,,Ray Ban,Ray Ban
40241724,,Roberto Verino,Roberto Verino
38313736,,Penguin,Penguin
40067312,,Polo Ralph Lauren,Polo Ralph Lauren
40182522,,,
37705514,,,
40309553,,Lacoste,Lacoste
40800235,,Polo Ralph Lauren,Polo Ralph Lauren
38947778,,K-Swiss,K-Swiss
40788806,,Hugo Boss,Hugo Boss
38066295,,Pineda Covalin,Pineda Covalin
40095854,,Vans,Vans
40842765,,Scalpers,Scalpers
40228506,,Scappino,Scappino
39370916,,Ray Ban,Ray Ban
40525171,,Michael Michael Kors,Michael Michael Kors
40096379,,Hackett,Hackett
38663491,,Perry Ellis,Perry Ellis
42092443,,Givenchy,Givenchy
40159574,,Caputo & Co.,Caputo & Co.
40611483,,The North Face,The North Face
40925071,,Diesel,Diesel
39137446,,Thomas Sabo,Thomas Sabo
41007561,,Prada,Prada
40782078,,Mirto,Mirto
40542841,,Tommy Hilfiger,Tommy Hilfiger
40031381,,Ray Ban,Ray Ban
40525308,,Paul & Shark,Paul & Shark
40268189,,Paul & Shark,Paul & Shark
40837457,,Maui Jim,Maui Jim
40290370,,Polo Ralph Lauren,Polo Ralph Lauren
38913901,,Boss,Boss
40279504,,Hugo Boss,Hugo Boss
40806090,,Ted Baker,Ted Baker
40290526,,Polo Ralph Lauren,Polo Ralph Lauren
41669514,,Calvin Klein Jeans,Calvin Klein Jeans
40588691,,The North Face,The North Face
38854929,,Cuadra,Cuadra
40523032,,Polo Ralph Lauren,Polo Ralph Lauren
39500674,,Porsche Desingn,Porsche Desingn
40495844,,AllSaints,AllSaints
40684715,,Scappino,Scappino
40800116,,Polo Ralph Lauren,Polo Ralph Lauren
40848013,,Aldo,Aldo
39221602,,Perry Ellis,Perry Ellis
40526177,,Clarks,Clarks
40782762,,Springfield,Springfield
40751882,,The Kooples,The Kooples
40560399,,Boss,Boss
39977954,,Pineda Covalin,Pineda Covalin
40200108,,Calvin Klein,Calvin Klein
40563544,,Rounderwear,Rounderwear
40452651,,Chester & Peck,Chester & Peck
40541871,,Catamaran,Catamaran
40552321,,Gianni Versace,Gianni Versace
40022215,,Boss,Boss
40485440,,Leyva,Leyva
40839218,,,
40151748,,The North Face,The North Face
40909903,,Ted Baker,Ted Baker
40842111,,Boggi,Boggi
36970834,,Italia Independent,Italia Independent
40603265,,Epsilon,Epsilon
40861280,,Pertegaz,Pertegaz
40350627,,Nautica,Nautica
40166119,,Dario Beltran,Dario Beltran
40523482,,Polo Ralph Lauren,Polo Ralph Lauren
40813833,,Cuadra,Cuadra
39839109,,Johnston & Murphy,Johnston & Murphy
40130419,,Vineyard Vines,Vineyard Vines
40550868,,Lacoste,Lacoste
40785241,,Springfield,Springfield
36401906,,Pineda Covalin,Pineda Covalin
40139158,,Dockers,Dockers
40282162,,Fraas,Fraas
39955826,,Salvatore Ferragamo,Salvatore Ferragamo
39137625,,Thomas Sabo,Thomas Sabo
40746523,,Cortefiel,Cortefiel
41670849,,Catamaran,Catamaran
39151075,,Cufflinks Inc,Cufflinks Inc
39139132,,Dockers,Dockers
39982299,,Pantherella,Pantherella
40793760,,Boss,Boss
36246555,,Calvin Klein,Calvin Klein
40482369,,Epsilon,Epsilon
39974125,,Pineda Covalin,Pineda Covalin
40655758,,Nautica,Nautica
40360519,,Luigi Borrelli,Luigi Borrelli
40743063,,Florsheim,Florsheim
39988895,,Dita,Dita
40581464,,Harmont & Blaine,Harmont & Blaine
39785755,,Perry Ellis,Perry Ellis
40869650,,Call It Spring,Call It Spring
39137943,,Thomas Sabo,Thomas Sabo
40490692,,The North Face,The North Face
40567243,,Calvin Klein,Calvin Klein
40072618,,Tommy Hilfiger,Tommy Hilfiger
39016797,,SevenFriday,SevenFriday
40243397,,Call It Spring,Call It Spring
40252412,,Call It Spring,Call It Spring
40115903,,Polo Ralph Lauren,Polo Ralph Lauren
40924973,,Diesel,Diesel
40381843,,Epsilon,Epsilon
40228184,,Scappino,Scappino
40616933,,Boss,Boss
40442846,,Tane,Tane
39686308,,Oakley,Oakley
40011777,,Garmin,Garmin
39118624,,Levi's,Levi's
38800777,,Pineda Covalin,Pineda Covalin
40235100,,Quirelli,Quirelli
40028578,,Salvatore Ferragamo,Salvatore Ferragamo
41758381,,Happy Socks,Happy Socks
36873284,,Nike,Nike
40191990,,Epsilon,Epsilon
40239344,,Quirelli,Quirelli
40584642,,Diesel,Diesel
40004136,,Garrett Leight,Garrett Leight
38372969,,Polo Ralph Lauren,Polo Ralph Lauren
41769400,,AllSaints,AllSaints
40294693,,Scappino,Scappino
31717774,,Carolina Herrera,Carolina Herrera
39988825,,Garrett Leight,Garrett Leight
40788739,,Boss,Boss
40491679,,,
40216064,,Ermenegildo Zegna,Ermenegildo Zegna
40444047,,,
40867034,,The North Face,The North Face
39938432,,Boss,Boss
40567225,,Calvin Klein,Calvin Klein
39560915,,Carrera,Carrera
40677011,,Levi's,Levi's
40552729,,,
40033862,,Carrera,Carrera
40654068,,Adolfo Dominguez,Adolfo Dominguez
39724722,,Ray Ban,Ray Ban
39624682,,Corneliani,Corneliani
40870270,,,
40567927,,Salvatore Ferragamo,Salvatore Ferragamo
40200092,,Calvin Klein,Calvin Klein
40241737,,Roberto Verino,Roberto Verino
40561157,,Boss,Boss
39999398,,Givenchy,Givenchy
40846310,,Tommy Hilfiger,Tommy Hilfiger
40799261,,Ted Baker,Ted Baker
39156792,,The North Face,The North Face
40560325,,,
39549405,,Pal Zileri,Pal Zileri
39120409,,Levi's,Levi's
40200144,,Calvin Klein,Calvin Klein
40585446,,Diesel,Diesel
40800140,,Polo Ralph Lauren,Polo Ralph Lauren
40400205,,Cuadra,Cuadra
40100692,,Karl Lagerfeld,Karl Lagerfeld
40589409,,Converse,Converse
40226315,,Tane,Tane
42029126,,Nautica,Nautica
40074807,,Herschel Supply & Co.,Herschel Supply & Co.
40872802,,Conair,Conair
41741323,,Fjällräven,Fjällräven
40279857,,Hugo Boss,Hugo Boss
40855231,,Joe S,Joe S
40284287,,Boss,Boss
40587806,,Psycho Bunny,Psycho Bunny
40671724,,Emporio Armani,Emporio Armani
40885324,,Steve Madden,Steve Madden
40306085,,K-Swiss,K-Swiss
40317154,,Montblanc,Montblanc
40675087,,Tommy Hilfiger,Tommy Hilfiger
40303660,,All Saints,All Saints
37777559,,Vilebrequin,Vilebrequin
18087693,,Ciba,Ciba
39453391,,Pineda Covalin,Pineda Covalin
39835278,,Maui Jim,Maui Jim
39598519,,Montblanc,Montblanc
40557007,,Salvatore Ferragamo,Salvatore Ferragamo
40495800,,AllSaints,AllSaints
40445888,,La Martina,La Martina
36232948,,Victorinox,Victorinox
39016637,,Lacoste,Lacoste
40819133,,,
40560521,,Boss,Boss
39654551,,Michael Kors,Michael Kors
40493528,,Versace,Versace
